"remark,\"CSV-Import-Export\"
remark,\"Date = Thu Nov 03 21:57:14 2016\"
remark,\"Version = RSLogix 5000 v20.01\"
remark,\"Owner = Avid\"
remark,\"Company = Avid Solutions\"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,CM_200_AIT_041,\"Process Waste Conductivity\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_PIT_006,\"Process from PU-200-001 to DSP-200-001 Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_PIT_007,\"Process from DSP-200-001 to PU-200-002 Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_PIT_013,\"Process to TP-361-003 from DSP-200-001 Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_PIT_015,\"Process from TP-361-003 to DSP-200-001 Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_TIT_012,\"Process from PU-200-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_210_FIT_060,\"WFI Flow To TK-210-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_210_LIT_070,\"TK-210-001 Level\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_210_TIT_011,\"TK-210-001 Temperature\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_211_FIT_060,\"WFI Flow Totalizer\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_211_LIT_070,\"TK-211-001 Level\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_211_TIT_011,\"TK-211-001 Temperature\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_230_AIT_041,\"TK-230-001 Conductivity\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_230_LIT_070,\"TK-230-001 Level\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_230_PIT_007,\"Pressure from TK-231-001 to FL-231-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_230_PIT_008,\"Process from FL-230-001 to FL-230-002\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_230_PIT_009,\"Process from FL-230-002 to TK-230-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_230_PIT_010,\"TK-230-001 Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_230_PIT_012,\"PU-230-001 Outlet Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_230_TIT_011,\"TK-230-001 Temperature\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_230_TIT_031,\"HX-230-001 CIPR Outlet Temperature\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_230_TIT_033,\"High Quality Steam Drain Temp TK-230-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_230_TIT_034,\"High Quality Steam Drain Temp TK-230-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_230_TIT_035,\"High Quality Steam Drain Temp TK-230-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_231_AIT_041,\"TK-231-001 Conductivity\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_231_LIT_070,\"TK-231-001 Level\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_231_PIT_007,\"Pressure from TK-231-001 to FL-231-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_231_PIT_008,\"Process from FL-231-001 to FL-231-002\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_231_PIT_009,\"Process from FL-231-002 to TK-231-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_231_PIT_010,\"TK-231-001 Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_231_PIT_012,\"PU-231-001 Outlet Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_231_TIT_011,\"TK-231-001 Temperature\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_231_TIT_031,\"HX-231-001 CIPR Outlet Temperature\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_231_TIT_033,\"High Quality Steam Drain Temp TK-231-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_231_TIT_034,\"High Quality Steam Drain Temp TK-231-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_231_TIT_035,\"High Quality Steam Drain Temp TK-231-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_AIT_041,\"TK-232-001 Conductivity\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_LIT_070,\"TK-232-001 Level\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_PIT_007,\"Pressure from TK-232-001 to FL-232-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_PIT_008,\"Process from FL-232-001 to FL-232-002\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_PIT_009,\"Process from FL-232-002 to TK-232-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_PIT_010,\"TK-232-001 Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_PIT_012,\"PU-232-001 Outlet Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_TIT_011,\"TK-232-001 Temperature\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_TIT_031,\"HX-232-001 Outlet Temp\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_TIT_033,\"High Quality Steam Drain Temp TK-232-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_TIT_034,\"High Quality Steam Drain Temp TK-232-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_TIT_035,\"High Quality Steam Drain Temp TK-232-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PIT_006,\"WFI to TP-361-001 Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PIT_008,\"CA to TP-361-001 Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PIT_012,\"CA to TP-361-002 Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PIT_014,\"CA to TP-361-003 Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_PIT_007,\"CA to TP-369-001 Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_950_MT_001,\"Filling Suite 1211 Humidity\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_950_PDT_006,\"Corridor 1004 Differential Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_950_PDT_006a,\"Corridor 1003 Differential Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_950_PDT_007,\"Corridor 1001 Differential Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_950_PDT_008,\"Filling Suite 1211 Differential Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_950_TT_030,\"Filling Suite 1211 Temperature\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_PY_013,\"Process to TP-361-003 from DSP-200-001 Pressure to Indicator\",\"P_AOut\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_PY_013_DST,\"Process to TP-361-003 from DSP-200-001 Pressure to Indicator Device Signal Tag\",\"DST_REAL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PY_014,\"CA to TP-361-003 Pressure\",\"P_AOut\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PY_014_DST,\"CA to TP-361-003 Pressure Device Signal Tag\",\"DST_REAL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PY_006,\"WFI to TP-361-001 Pressure to Indicator\",\"P_AOut\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PY_006_DST,\"WFI to TP-361-001 Pressure to Indicator Device Signal Tag\",\"DST_REAL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PY_008,\"CA to TP-361-001 Pressure to Indicator\",\"P_AOut\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PY_008_DST,\"CA to TP-361-001 Pressure to Indicator Device Signal Tag\",\"DST_REAL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PY_012,\"CA to TP-361-002 Pressure to Indicator\",\"P_AOut\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PY_012_DST,\"CA to TP-361-002 Pressure to Indicator Device Signal Tag\",\"DST_REAL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_PY_015,\"TP-361-003 to DSP-200-001 Pressure to Indicator\",\"P_AOut\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_PY_015_DST,\"TP-361-003 to DSP-200-001 Pressure to Indicator Device Signal Tag\",\"DST_REAL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_230_PCV_007,\"TK-230-001 Recirculation Control Valve\",\"P_AOutHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_230_TCV_031,\"MPS to HX-230-001 Control Valve\",\"P_AOutHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_231_PCV_007,\"TK-231-001 Recirculation Control Valve\",\"P_AOutHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_231_TCV_031,\"MPS to HX-231-001 Control Valve\",\"P_AOutHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
